label,qid,instance_of_qid
Ankara Metropolitan Municipality,Q6092427,Q2716259
Ankara Province,Q2297724,Q48336
Ankaran Municipality,Q12042075,Q328584
Annaba Province,Q213944,Q240601
Annobón Province,Q3736616,Q867597
Anosy,Q16045730,Q971831
Anse Boileau,Q569453,Q1149621
Anse Etoile,Q387293,Q1149621
Anse la Raye Quarter,Q1676934,Q1753792
Anse Royale,Q3241674,Q1149621
Anse-aux-Pins,Q569458,Q1149621
Anseba Region,Q569468,Q874223
Antalya,Q6487,Q2716259
Antalya Metropolitan Municipality,Q28320750,Q2716259
Antalya Province,Q40249,Q48336
Antananarivo Province,Q489821,Q864133
Antioquia,Q123304,Q215655
Antique,Q13727,Q24746
Antofagasta Region,Q2118,Q590080
Antsiranana Province,Q656073,Q864133
Anykščiai District Municipality,Q2089772,Q17301072
Anzoátegui,Q190922,Q501094
Aomori Prefecture,Q71699,Q50337
Aosta Valley,Q1222,Q1710033
Apayao,Q13728,Q24746
Apostolic Delegation of Ancona,Q3043402,Q136296131
Apostolic Delegation of Ascoli,Q3043400,Q136296131
Apostolic Delegation of Benevento,Q3043397,Q136296131
Apostolic Delegation of Camerino,Q3043405,Q136296131
Apostolic Delegation of Civitavecchia,Q588682,Q136296131
Apostolic Delegation of Fermo,Q3043406,Q136296131
Apostolic Delegation of Fermo and Ascoli,Q3704959,Q136296131
Apostolic Delegation of Frosinone,Q3043409,Q136296131
Apostolic Delegation of Macerata,Q3043410,Q136296131
Apostolic Delegation of Orvieto,Q3043403,Q136296131
Apostolic Delegation of Perugia,Q3043411,Q136296131
Apostolic Delegation of Rieti,Q3043412,Q136296131
Apostolic Delegation of Spoleto,Q3043413,Q136296131
Apostolic Delegation of Urbino and Pesaro,Q3043404,Q136296131
Apostolic Delegation of Velletri,Q370905,Q136296131
Apostolic Delegation of Viterbo,Q3043416,Q136296131
Apostolic Legation of Bologna,Q3270106,Q136296131
Apostolic Legation of Ferrara,Q771460,Q136296131
Apostolic Legation of Forlì,Q608425,Q136296131
Apostolic Legation of Ravenna,Q3270110,Q136296131
Apostolic Legation of the Romagne,Q3270119,Q136296131
Apulia,Q1447,Q16110
Apure,Q41146,Q501094
Apurímac Department,Q208185,Q861184
Aqaba Governorate,Q260796,Q867567
Aquitaine,Q1179,Q36784
Arad County,Q179559,Q1776764
Aragatsotn Province,Q17915,Q514860
Aragon,Q4040,Q10742
Aragua,Q190687,Q501094
Ararat Province,Q199880,Q514860
Arauca Department,Q230223,Q215655
Araucanía Region,Q2176,Q590080
Aračinovo Municipality,Q597345,Q646793
"Archipelago of San Andrés, Providencia and Santa Catalina",Q26855,Q215655
Ardabil Province,Q134228,Q1344695
Ardahan Province,Q79840,Q48336
Arequipa Department,Q205068,Q861184
Argeș County,Q179567,Q1776764
Ariana Governorate,Q233116,Q690084
Arica y Parinacota Region,Q2109,Q590080
Arima,Q661405,Q1996198
Arizona,Q816,Q35657
Arkan,Q233838,Q17315624
Arkansas,Q1612,Q35657
Arkhangai Province,Q207809,Q50399
Arkhangelsk Oblast,Q1875,Q43263
Armavir Province,Q201147,Q514860
Arta Region,Q705941,Q1202812
Artemisa Province,Q115325,Q115291
Artibonite,Q844024,Q62127
Artigas Department,Q16603,Q56059
Artvin Province,Q43745,Q48336
Arue,Q716412,Q84598477
Arunachal Pradesh,Q1162,Q12443800
Arusha Region,Q329261,Q845820
Arutua,Q182758,Q84598477
As-Suwayda Governorate,Q236797,Q517351
Ascension,Q31890709,Q10864048
Ash Sharqiyah North Governorate,Q4501876,Q641078
Ash Sharqiyah South Governorate,Q4501894,Q641078
Ashanti Region,Q398417,Q1052743
Ashgabat,Q23438,Q10864048
Ashmore and Cartier Islands,Q133888,Q11687019
Asir Province,Q779855,Q15728204
Askeran Province,Q4807202,Q17379685
Assaba,Q738546,Q846327
Assam,Q1164,Q12443800
Astana,Q1520,Q12266391
Astara District,Q269680,Q13417250
Astrakhan Oblast,Q3941,Q835714
Asturias,Q3934,Q10742
Aswan Governorate,Q29937,Q204910
Asyut Governorate,Q29965,Q204910
Atacama Region,Q2120,Q590080
Atakora Department,Q29154,Q792929
Atauro,Q753794,Q741821
Atlantique Department,Q29147,Q792929
Atlántico Department,Q230882,Q215655
Atlántida Department,Q622619,Q728145
Atsimo-Andrefana,Q757781,Q971831
Atsimo-Atsinanana,Q757782,Q971831
Atsinanana,Q757783,Q971831
Attapeu Province,Q503004,Q15673297
Attica Region,Q758056,Q207299
Atua,Q1154332,Q1070167
Atyrau Region,Q427658,Q836672
Au Cap,Q2667004,Q1149621
Auckland Region,Q726917,Q216712
Augšdaugava Municipality,Q97230083,Q3345345
Australian Antarctic Territory,Q178994,Q11687019
Australian Capital Territory,Q3258,Q14192199
Australian Indian Ocean Territories,Q4824275,Q11687019
Autonomous Region of Bougainville,Q18826,Q10864048
Autonomous Republic of Abkhazia,Q2914461,Q1210300
Autonomous Republic of Crimea,Q756294,Q84823091
Auvergne,Q24082791,Q36784
Auvergne,Q1152,Q36784
Auvergne-Rhône-Alpes,Q18338206,Q36784
Avannaata,Q44593409,Q16423979
Aveiro,Q210527,Q3032141
Aweil East State,Q25550606,Q496539
Aweil State,Q23926373,Q496539
Ayacucho Department,Q205112,Q861184
Aydin Metropolitan Municipality,Q28334891,Q2716259
Aydın,Q170457,Q2716259
Aydın Province,Q79846,Q48336
Ayeyarwady Region,Q47047,Q15072454
Ayre,Q2484719,Q12883402
Aysén Region,Q2181,Q590080
Azad Kashmir,Q200130,Q10864048
Azores,Q25263,Q2914565
Azua Province,Q794239,Q913337
Azuay Province,Q220451,Q719987
Aïn Defla Province,Q168953,Q240601
Aïn Oussera Province,Q136806466,Q240601
Aïn Témouchent Province,Q233670,Q240601
Ağrı Province,Q80051,Q48336
Baa Atoll,Q949513,Q757549
Baalbek-Hermel Governorate,Q787753,Q844713
Babek District,Q643895,Q13417250
Babylon Governorate,Q59202,Q841753
Bacău County,Q179779,Q1776764
Badakhshan Province,Q165376,Q158683
Baden-Württemberg,Q985,Q1221156
Badghis Province,Q172052,Q158683
Baghdad Governorate,Q191075,Q841753
Baghlan Province,Q170309,Q158683
Bagmati Province,Q25104015,Q22049119
Bago Region,Q800124,Q15072454
Bahia,Q40430,Q485258
Bahr el Gazel,Q1050621,Q640262
Baie Lazare,Q2494551,Q1149621
Baie Sainte Anne,Q803716,Q1149621
Baikonur,Q165413,Q183342
Baiti District,Q328727,Q319796
Baja,Q203344,Q681277
Baja California,Q58731,Q15149663
Baja California Sur,Q46508,Q15149663
Baja Verapaz Department,Q504647,Q27448
Baker Island,Q46879,Q462778
Bakool,Q282471,Q10864048
Baku,Q9248,Q56557664
Balakan District,Q330850,Q13417250
Balearic Islands,Q107356467,Q2736168
Bali,Q3125978,Q5098
Balkan Province,Q486073,Q12014176
Balkh Province,Q121104,Q158683
Balochistan,Q163239,Q15058985
Balqa Governorate,Q721431,Q867567
Balvi Municipality,Q97230143,Q3345345
Balzers,Q49663,Q203300
Balıkesir,Q199723,Q2716259
Balıkesir Metropolitan Municipality,Q28335058,Q2716259
Balıkesir Province,Q47117,Q48336
Bamako,Q3703,Q10864048
Bamako Capital District,Q55747201,Q743074
Bamingui-Bangoran Prefecture,Q741025,Q843886
Bamyan Province,Q171382,Q158683
Bandiagara,Q130581074,Q743074
Bandundu Province,Q671442,Q654140
Bangka Belitung Islands,Q1866,Q5098
Bangkok,Q1861,Q10864048
Bangsamoro,Q806550,Q24698
Bangui,Q3832,Q843886
Bani Walid District,Q1366684,Q48242
Banjul,Q3726,Q15646510
Bankui,Q527093,Q867094
Banská Bystrica Region,Q183640,Q15057583
Banteay Meanchey Province,Q3817,Q7252589
Banten,Q3540,Q5098
Baoruco Province,Q807079,Q913337
Bar Municipality,Q2604068,Q838549
Barahona Province,Q1137551,Q913337
Baranya County,Q186195,Q188604
Barbuda,Q238752,Q46260602
Barda District,Q330857,Q13417250
Barika Province,Q131588587,Q240601
Barima-Waini,Q537740,Q2087773
Barinas,Q43271,Q501094
Baringo County,Q808201,Q269218
Barisal Division,Q459723,Q878040
Barlavento Islands,Q494869,Q10864048
Bartın Province,Q83342,Q48336
Bas-Pô Department,Q2886295,Q92938359
Bas-Sassandra District,Q20980352,Q20717263
Bas-Uele,Q652056,Q654140
Basarabeasca District,Q1980044,Q15068450
Bashkortostan,Q5710,Q41162
Basilicata,Q1452,Q16110
Basra Governorate,Q193551,Q841753
Basse-Kotto Prefecture,Q810484,Q843886
Bataan,Q13739,Q24746
Batangas,Q13744,Q24746
Batha Region,Q180414,Q640262
Batken Region,Q487631,Q693039
Batman Province,Q80370,Q48336
Batna Province,Q215452,Q240601
Battambang Province,Q810923,Q7252589
Baucau Municipality,Q811132,Q741821
Bauchi State,Q503936,Q465842
Bauska Municipality,Q97230156,Q3345345
Bavaria,Q980,Q1221156
Bay Islands Department,Q751725,Q728145
Bay of Plenty Region,Q2192924,Q216712
Bayan-Ölgii Province,Q191792,Q50399
Bayankhongor Province,Q276200,Q50399
Bayburt Province,Q483063,Q48336
Bayelsa State,Q532153,Q465842
Beau Bassin-Rose Hill,Q813337,Q10864048
Beau Vallon,Q7479348,Q1149621
Beheira Governorate,Q30630,Q204910
Beirut Governorate,Q651688,Q844713
Beja,Q321455,Q3032141
Bel Air,Q815077,Q1149621
Bel Ombre,Q3245439,Q1149621
Belait District,Q40395,Q50427
Belgorod Oblast,Q3329,Q43263
Belize District,Q506056,Q765865
Ben Arous Governorate,Q238555,Q690084
Benaco Department,Q3708608,Q92938359
Bendel State,Q27536437,Q465842
Bender,Q192176,Q1963041
Bender Municipality,Q18088065,Q1963041
Benghazi District,Q33507,Q48242
Bengkulu,Q1890,Q5098
Bengo Province,Q191299,Q329028
Benguela Province,Q212786,Q329028
Benguet,Q13750,Q24746
Beni Abbes Province,Q21606902,Q240601
Beni Department,Q233169,Q250050
Beni Suef Governorate,Q30683,Q204910
Benishangul-Gumuz Region,Q207635,Q1057504
Benue State,Q429908,Q465842
Benue-Plateau State,Q840930,Q465842
Beqaa Governorate,Q319632,Q844713
Berane Municipality,Q4853794,Q838549
Berat County,Q189296,Q104251
Berbice-Corentyne,Q14206360,Q2087773
Berea District,Q737086,Q844531
Berlin,Q64,Q1221156
Bermuda,Q23635,Q46395
Berovo Municipality,Q793727,Q646793
Berry Islands,Q827173,Q1230132
Bethlehem Governorate,Q247037,Q50495
Betsiboka,Q832223,Q971831
Beylagan District,Q330807,Q13417250
Bežigrad,Q2469185,Q12806962
Bhopal State (1949–1956),Q4100821,Q12443800
Bicol Region,Q13662,Q24698
Bieh State,Q25101079,Q496539
Bielsk Land,Q9391104,Q1248049
Bihar,Q1165,Q12443800
Bihor County,Q179588,Q1776764
Bijelo Polje Municipality,Q4086488,Q838549
Bilasuvar District,Q330834,Q13417250
Bilecik Province,Q46763,Q48336
Biliran,Q13751,Q24746
Bimini,Q863476,Q1230132
Bingöl Province,Q79760,Q48336
Biobío Region,Q2170,Q590080
Bioko Norte,Q845834,Q867597
Bioko Sur,Q845817,Q867597
Bir El Ater Province,Q136956698,Q240601
Birčna Vas,Q3439382,Q20522070
Birštonas Municipality,Q2015893,Q1363145
Biržai District Municipality,Q763504,Q17301072
Bishkek,Q9361,Q10864048
Biskra Province,Q458402,Q240601
Bissau Autonomous Sector,Q1318549,Q17325066
Bistrița-Năsăud County,Q181513,Q1776764
Bitlis Province,Q83239,Q48336
Bitola Municipality,Q159380,Q646793
Bizerte Governorate,Q241129,Q690084
Bié Province,Q213977,Q329028
Bjelovar-Bilogora County,Q58060,Q57053
Black Point,Q2525298,Q1230132
Blagoevgrad,Q804311,Q209824
Blekinge County,Q102377,Q200547
Blida Province,Q233637,Q240601
Blue Nile State,Q309489,Q746290
Boaco Department,Q280973,Q822715
Bobonaro Municipality,Q860913,Q741821
Bocas del Toro Province,Q217138,Q1382893
Boe District,Q378829,Q319796
Boeny,Q740164,Q971831
Bogdanci Municipality,Q1992752,Q646793
Bogotá,Q2841,Q499073
Bogovinje Municipality,Q9035785,Q646793
Bohinj Municipality,Q3661628,Q328584
Bohol,Q13752,Q24746
Bokeo Province,Q334884,Q15673297
Boké Region,Q862611,Q1067116
Bolikhamsai Province,Q2403514,Q15673297
Bolu Province,Q82089,Q48336
Bolívar,Q191164,Q501094
Bolívar Department,Q230597,Q215655
Bolívar Province,Q261165,Q719987
Boma State,Q25101077,Q496539
Bomet County,Q891952,Q269218
Bomi County,Q844127,Q874821
Bong County,Q877578,Q874821
Bongolava,Q679739,Q971831
Bono East Region,Q60764358,Q1052743
Bono Region,Q64685186,Q1052743
Boquerón Department,Q741017,Q815068
Bor District,Q477586,Q648681
Bora-Bora,Q602937,Q84598477
Bordj Baji Mokhtar Province,Q76592938,Q240601
Bordj Bou Arréridj Province,Q266411,Q240601
Borgo Maggiore,Q201368,Q14292916
Borgou Department,Q29136,Q792929
Borkou,Q1139666,Q640262
Borkou-Ennedi-Tibesti Region,Q893861,Q640262
Bornholm County,Q893986,Q876730
Borno State,Q130626,Q465842
Borsod-Abaúj-Zemplén County,Q188895,Q188604
Bosilovo Municipality,Q1779775,Q646793
Botoșani County,Q178861,Q1776764
Bou Saâda Province,Q131925452,Q240601
Bouenza Department,Q827015,Q868893
Bougouni,Q130390762,Q743074
Bouira Province,Q233655,Q240601
Boumerdès Province,Q236752,Q240601
Bourgogne-Franche-Comté,Q18578267,Q36784
Boyacá Department,Q121233,Q215655
Braga,Q326203,Q3032141
Bragança,Q373528,Q3032141
Brakna,Q12632,Q846327
Brandenburg,Q1208,Q1221156
Braničevo District,Q861539,Q648681
Bratislava Region,Q183498,Q15057583
Brazzaville,Q31896818,Q868893
Brașov County,Q182614,Q1776764
Brest Region,Q173822,Q209325
Brezje-Dogoše-Zrkovci district,Q25496472,Q20522070
Briceni District,Q753795,Q15068450
British Antarctic Territory,Q165783,Q46395
British Columbia,Q1973,Q11828004
British Indian Ocean Territory,Q43448,Q46395
British Virgin Islands,Q25305,Q46395
Brittany,Q12130,Q36784
Brod-Posavina County,Q58129,Q57053
Brokopondo District,Q847680,Q1649296
Brunei-Muara District,Q153009,Q50427
Brussels-Capital Region,Q240,Q83057
Brvenica Municipality,Q1057563,Q646793
Bryansk Oblast,Q2810,Q835714
Brăila County,Q188503,Q1776764
Brčko District,Q194483,Q10864048
Bršljin,Q12786568,Q20522070
Buada District,Q202747,Q319796
Bubanza Province,Q460538,Q476075
Bucharest,Q19660,Q10864048
Budva Municipality,Q3739214,Q838549
Bueng Kan,Q1001862,Q50198
Buenos Aires,Q1486,Q10864048
Buenos Aires Province,Q44754,Q44753
Bujumbura Mairie,Q1816580,Q476075
Bujumbura Province,Q15478219,Q476075
Bujumbura Rural Province,Q645043,Q476075
Bukhara Region,Q487372,Q842420
Bukidnon,Q13753,Q24746
Bulacan,Q13755,Q24746
Bulawayo Province,Q24045859,Q492042
Bulgan Province,Q209774,Q50399
Bumthang District,Q463242,Q831889
Bungoma,Q33225335,Q10864048
Bungoma County,Q2928204,Q269218
Burdur Province,Q80088,Q48336
Burgas,Q369220,Q209824
Burgenland,Q43210,Q261543
Burgundy,Q1173,Q36784
Buri Ram,Q327510,Q50198
Bursa,Q40738,Q2716259
Bursa Metropolitan Municipality,Q28528543,Q2716259
Bursa Province,Q43690,Q48336
Burunga,Q131844612,Q476075
Bururi Province,Q431385,Q476075
Buryatia,Q6809,Q41162
Busan,Q16520,Q482821
Bushehr Province,Q132945,Q1344695
Busia County,Q1017519,Q269218
Busk Land,Q16825051,Q1248049
Buskerud,Q50618,Q192299
Butel Municipality,Q935620,Q646793
Butha-Buthe District,Q535632,Q844531
Butnan District,Q25931,Q48242
Buzău County,Q185309,Q1776764
Bučna vas,Q19934462,Q20522070
Bydgoszcz Department,Q855084,Q15623448
Bács-Kiskun County,Q181018,Q188604
Béchar Province,Q215467,Q240601
Béja Governorate,Q276576,Q690084
Béjaïa Province,Q233665,Q240601
Békés County,Q191616,Q188604
Békéscsaba,Q178878,Q681277
Béni Mellal-Khénifra,Q19953016,Q845643
Bălți,Q37801,Q1963041
Bălți County,Q16692359,Q4469598
Bălți Municipality,Q29017181,Q1963041
Bắc Ninh,Q33408,Q2824648
Caaguazú Department,Q880399,Q815068
Caazapá Department,Q881839,Q815068
Cabañas Department,Q914058,Q475214
Cabinda Province,Q168787,Q329028
Cabinda Province,Q19731093,Q329028
Cabo Delgado Province,Q466538,Q695469
Cagados Carajos,Q511859,Q10864048
Cagayan,Q13759,Q24746
Cagayan Valley,Q13615,Q24698
Cahul,Q503469,Q1963041
Cahul County,Q2442138,Q4469598
Cahul District,Q2128882,Q15068450
Cairo Governorate,Q30805,Q204910
Cajamarca Department,Q205078,Q861184
Calabarzon,Q13650,Q24698
Calabria,Q1458,Q16110
Caldas Department,Q230607,Q215655
California,Q99,Q35657
Callao Region,Q2071352,Q861184
Camagüey Province,Q215147,Q115291
Camarines Sur,Q13767,Q24746
Campania,Q1438,Q16110
Campeche,Q80908,Q15149663
Canary Islands,Q5813,Q10742
Canelones Department,Q16577,Q56059
Canillo,Q24260,Q24279
Canindeyú Department,Q279085,Q815068
Cankuzo Province,Q645033,Q476075
Cantabria,Q3946,Q10742
Cantemir District,Q684183,Q15068450
Canterbury Region,Q657004,Q216712
Canton of Aargau,Q11972,Q23058
Canton of Appenzell Ausserrhoden,Q12079,Q23058
Canton of Appenzell Innerrhoden,Q12094,Q23058
Canton of Baden,Q597077,Q17291456
Canton of Basel-Landschaft,Q12146,Q23058
Canton of Basel-Stadt,Q12172,Q23058
Canton of Bellinzona,Q676504,Q17291456
Canton of Berne,Q11911,Q23058
Canton of Capellen,Q397678,Q1146429
Canton of Clervaux,Q691793,Q1146429
Canton of Diekirch,Q691842,Q1146429
Canton of Echternach,Q720221,Q1146429
Canton of Esch-sur-Alzette,Q188283,Q1146429
Canton of Fribourg,Q12640,Q23058
Canton of Fricktal,Q692371,Q17291456
Canton of Geneva,Q11917,Q23058
Canton of Glarus,Q11922,Q23058
Canton of Grevenmacher,Q836002,Q1146429
Canton of Jura,Q12755,Q23058
Canton of Linth,Q676431,Q17291456
Canton of Lucerne,Q12121,Q23058
Canton of Lugano,Q692422,Q17291456
Canton of Luxembourg,Q691741,Q1146429
Canton of Léman,Q676467,Q17291456
Canton of Mersch,Q753917,Q1146429
Canton of Neuchâtel,Q12738,Q23058
Canton of Nidwalden,Q12592,Q23058
Canton of Oberland,Q692837,Q17291456
Canton of Obwalden,Q12573,Q23058
Canton of Raetia,Q675641,Q17291456
Canton of Redange,Q835980,Q1146429
Canton of Remich,Q691781,Q1146429
Canton of Schaffhausen,Q12697,Q23058
Canton of Schwyz,Q12433,Q23058
Canton of Solothurn,Q11929,Q23058
Canton of St. Gallen,Q12746,Q23058
Canton of the Grisons,Q11925,Q23058
canton of Thurgau,Q99529148,Q17291456
Canton of Thurgau,Q12713,Q23058
Canton of Ticino,Q12724,Q23058
Canton of Uri,Q12404,Q23058
Canton of Valais,Q834,Q23058
Canton of Vaud,Q12771,Q23058
Canton of Vianden,Q845600,Q1146429
Canton of Waldstätten,Q675734,Q17291456
Canton of Wiltz,Q550021,Q1146429
Canton of Zug,Q11933,Q23058
Canton of Zürich,Q11943,Q23058
Cao Bằng,Q36865,Q2824648
Capital Governorate,Q528953,Q867606
Capital Governorate,Q1046645,Q842876
Capital Region,Q203304,Q842100
Capital Region of Denmark,Q26073,Q62326
Capiz,Q13772,Q24746
Caquetá Department,Q13985,Q215655
Carabobo,Q191186,Q501094
Caraga,Q13704,Q24698
Carazo Department,Q461133,Q822715
Caraș-Severin County,Q187925,Q1776764
Carchi Province,Q321729,Q719987
Cargados Carajos,Q27764437,Q10864048
Carinthia,Q37985,Q261543
Carriacou and Petite Martinique,Q3044818,Q10864048
Cartago Province,Q502181,Q1075520
Casablanca-Settat,Q19843788,Q845643
Casanare Department,Q13984,Q215655
Cascade,Q1928685,Q1149621
Castel,Q2070272,Q3365965
Castelo Branco,Q273529,Q3032141
Castile and León,Q5739,Q10742
Castilla–La Mancha,Q5748,Q10742
Castries Quarter,Q1049867,Q1753792
Cat Island,Q1050154,Q1230132
Catalonia,Q5705,Q2736168
Catamarca Province,Q44756,Q44753
Catanduanes,Q13778,Q24746
Cauca Department,Q230602,Q215655
Cavite,Q13785,Q24746
Cayman Islands,Q5785,Q46395
Cayo District,Q508773,Q765865
Cañar Province,Q335471,Q719987
Ceadîr-Lunga,Q1012924,Q1963041
Ceará,Q40123,Q485258
Cebu,Q13786,Q24746
Centar Municipality,Q1463152,Q646793
Centar Župa Municipality,Q1779085,Q646793
Center,Q2000244,Q12806962
Central Abaco,Q2525371,Q1230132
Central Andros,Q2096558,Q1230132
Central Australia (territory),Q85751210,Q14192199
Central Banat District,Q425782,Q648681
Central Bohemian Region,Q188399,Q38911
Central Darfur,Q4116493,Q746290
Central Denmark,Q26586,Q62326
Central Department,Q372461,Q815068
Central District,Q188785,Q193560
Central District,Q57525,Q57368
Central Division,Q1053789,Q15646524
Central Eleuthera,Q938518,Q1230132
Central Equatoria,Q487709,Q496539
